year,indicator,channel_code,mapped_name,share
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,7.161604929631929e-05
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.05130968450691937
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0002542406609730079
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,1.169939446349744e-05
2015,multilateral_purpose_spending_shares,44002,international development association,0.0003505640169690094
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.00010062739309494056
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.5547565024120283
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.004631235660805868
2015,multilateral_purpose_spending_shares,41305,united nations,0.0020562430162518403
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,0.026864427168465026
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.004046920052791144
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0015482230904759922
2015,multilateral_purpose_spending_shares,44002,international development association,0.0023362748653573307
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0005803721078891554
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.0
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47129,global environment facility least developed countries fund,0.009113064030166904
2015,multilateral_purpose_spending_shares,41114,united nations development programme,3.0522291286332575e-06
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.18621261577384735
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.011489654037985056
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.04825425428404338
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.003656000051152575
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0036154265325036928
2015,multilateral_purpose_spending_shares,44002,international development association,0.0034071774919347884
2015,multilateral_purpose_spending_shares,46003,african development fund,0.003804278211755821
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0030155801675981614
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.000573462381934552
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.08437035294997938
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,4.829968483606153e-06
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0003301716868003339
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.00038911144840090005
2015,multilateral_purpose_spending_shares,44002,international development association,0.0001685248899286061
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,41110,joint united nations programme on hiv aids,0.5274380328259078
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.016396804942822755
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.02939111845653601
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.015806144300868557
2015,multilateral_purpose_spending_shares,41140,world food programme,0.006762715289157938
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.025606259216107263
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00045567470118539055
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0012764942895914467
2015,multilateral_purpose_spending_shares,44002,international development association,0.007119979233490008
2015,multilateral_purpose_spending_shares,46000,regional development bank,0.02133547754882699
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0005578779118667168
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.49575030045742624
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.003992271125780258
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.033825698796652745
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,5.173981350115849e-06
2015,multilateral_purpose_spending_shares,44002,international development association,0.00021484368009445755
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0030030198863002927
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.012679796755957111
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,0.1814833996378274
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.009859410778901694
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.009376407774273794
2015,multilateral_purpose_spending_shares,44002,international development association,0.007962681129989968
2015,multilateral_purpose_spending_shares,46002,african development bank,0.01256324470940174
2015,multilateral_purpose_spending_shares,46003,african development fund,0.08331701087454813
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.004643427255510447
2015,multilateral_purpose_spending_shares,46009,caribbean development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0010498997011996437
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47044,global environment facility trust fund,0.047998426036171715
2015,multilateral_purpose_spending_shares,47111,adaptation fund,0.03209492120908994
2015,multilateral_purpose_spending_shares,47128,nordic development fund,0.09019993666828562
2015,multilateral_purpose_spending_shares,47129,global environment facility least developed countries fund,0.02414565747819005
2015,multilateral_purpose_spending_shares,47130,global environment facility special climate change fund,0.04025014823123339
2015,multilateral_purpose_spending_shares,47135,strategic climate fund,0.0
2015,multilateral_purpose_spending_shares,47136,global green growth institute,0.029059254806392508
